Case,Trainer,Steam_Flow_Error,Reformer_Duty_Error,C2H6_Error,CH4_Error,H2_Error,O2_Error,Time_Cost(s)
1,PLY,1.2106978763389127e-10,0.00015194000929254315,1.455543890212848e-06,4.395178566891228e-05,1.281980233669433e-05,8.488057478839848e-16,0.03026270866394043
2,PLY,1.2106382252822906e-09,0.00011556297514952923,2.8415776333269756e-06,8.56547541819852e-05,7.713428598105088e-05,3.0851872640995305e-16,0.03959941864013672
3,PLY,2.0773083404698e-10,0.00010824622003462585,7.348597811577921e-07,2.195782868440188e-05,3.3892834746862555e-05,1.5982043147145983e-17,0.03701448440551758
4,PLY,3.740006329546787e-11,6.423049728679663e-05,2.7834073497996336e-06,8.26810345047474e-05,6.459888965248961e-05,6.978198814510453e-16,0.03777956962585449
5,PLY,1.3814594150864978e-10,0.00016875993102160794,5.319189368289436e-06,0.00015785665163473017,0.0001689477256991423,3.1844036877936844e-16,0.03186941146850586
6,PLY,1.1933394257645008e-09,0.00118847126095606,3.917098662790594e-06,0.00012053374270634687,5.341932596183985e-05,8.351627191028755e-17,0.033388614654541016
7,PLY,5.348007392294554e-10,9.194519028798017e-05,9.99614286900435e-06,0.0002988699074426525,0.0002588055918721355,2.9695675908723004e-16,0.039971351623535156
8,PLY,1.1504793505707337e-09,0.0008074219800290291,7.547703634548306e-06,0.00022503079300173479,0.00017118530937465515,2.0668742356572715e-16,0.03498339653015137
9,PLY,2.4427612828248967e-10,4.444213935619474e-06,4.438785247825802e-08,1.0788920672410995e-06,2.0978081611444654e-05,6.0648566845990035e-18,0.3200864791870117
10,PLY,1.956862663529646e-10,0.0001275300214268373,4.151293876604456e-07,1.1192323456941933e-05,1.7075782514197613e-05,4.98784912548466e-16,0.03195333480834961
11,PLY,1.0412746105751062e-10,0.00014165422230657499,2.379168958393553e-07,6.849156113847288e-06,1.773026328966143e-05,1.81828833389322e-16,0.05268597602844238
12,PLY,6.594144360566366e-10,0.00013629546614157527,9.122075219736335e-06,0.0002723357406616139,0.000246872808560894,1.0839407991078069e-15,0.040215492248535156
13,PLY,2.400911878375605e-10,0.0003811844827267263,9.241650427795935e-07,2.755278616228818e-05,2.687205981949381e-05,1.0449563756658902e-16,0.031127214431762695
14,PLY,4.570285605614944e-10,0.0002960929561927054,9.838198092874863e-07,3.037138730103972e-05,1.2210181738636638e-05,5.858075453703073e-16,0.03126692771911621
15,PLY,8.293342674665964e-10,0.00039424670999688014,2.4689615573548346e-06,7.45848073857025e-05,4.730579475342722e-05,2.2711185027593173e-16,0.03895139694213867
16,PLY,5.09528190077125e-10,8.256020762823235e-05,1.8118022024945363e-06,5.444713548360958e-05,3.732655025684428e-05,4.916584660826892e-17,0.03584480285644531
17,PLY,7.757668146664162e-10,0.0002574004779382154,2.070869188712174e-06,6.233198303191856e-05,5.4484811507993225e-05,1.3128729550019487e-17,0.0483090877532959
18,PLY,3.834204503904079e-10,4.379724984087345e-05,3.1023144909500446e-06,9.297489952046073e-05,7.115865836232471e-05,6.965688430018487e-16,0.042023658752441406
19,PLY,1.0136914490163198e-09,0.00041185885680736244,8.858276885331112e-07,2.7464661438408866e-05,5.507030324014561e-05,6.540749600964466e-17,0.04369330406188965
20,PLY,2.3490114660808602e-11,0.00015159045995599346,1.1153283962061621e-06,3.430268041582779e-05,2.7164946967861425e-05,1.7869477171529556e-16,0.024519681930541992
1,RBF,2.9021588710209487e-05,0.0002564004702424711,3.22220352671522e-07,9.697780420578339e-06,9.558342776050388e-05,3.9098419273484403e-23,0.3079366683959961
2,RBF,5.148393339378539e-05,0.0005305819413685194,1.3235120508908304e-05,0.00040253631376771515,0.00020534733951232953,9.729898801825076e-24,0.1076974868774414
3,RBF,0.00018635024727010885,0.0008067891132147083,1.4754029340080348e-05,0.00044875535362715047,0.00020969573139112407,1.5163563758710843e-23,0.10258316993713379
4,RBF,9.09085841839901e-05,0.00021263000338489515,1.4509503473335295e-05,0.00044139785091153877,9.011611979181655e-05,9.077748938171236e-24,0.10759687423706055
5,RBF,0.0001911530923517518,4.262740767799393e-05,1.975632787589235e-06,6.017898024976431e-05,3.400997762420532e-05,2.3647935462573793e-23,0.3909034729003906
6,RBF,0.0003070494171449606,0.0009946607097632387,7.082373412059702e-05,0.00215489941534891,0.0006031622515696444,7.226404171395653e-23,0.32673192024230957
7,RBF,0.0002235166899210932,0.0006743069236341778,2.554724720954147e-05,0.0007771238368714552,0.0001576993280479333,3.733750822377857e-23,0.09993410110473633
8,RBF,0.0004267801014887515,0.0010113410201864669,8.81162659094499e-06,0.00026812319430213893,2.6056719518746663e-05,5.731560455499139e-23,0.11015605926513672
9,RBF,0.00017790651492594485,0.0006562595483704896,2.020094002272649e-05,0.0006145063560239056,0.00018405221920408943,1.346341325380854e-23,0.09974503517150879
10,RBF,0.0001292816819461025,0.0002490465677845361,6.553373824666605e-06,0.00019942551723159396,0.00012878229004587016,4.5455072657738894e-23,0.3513603210449219
11,RBF,0.00012429120475020345,0.00014767316863121654,1.158185648674078e-05,0.0003524655566743695,2.1078243789718343e-05,4.496395974785881e-23,0.11032390594482422
12,RBF,3.661086711336532e-06,0.00031624338530715084,1.2250717299789335e-05,0.0003726235624818969,1.2800987258199115e-05,3.962912210989844e-23,0.09989452362060547
13,RBF,0.00020546315674181763,0.00091130429272115,6.379687121635998e-06,0.0001941475328202935,0.00010289513321959376,3.764530832787012e-23,0.1094520092010498
14,RBF,0.0001349161532720456,9.35808788762512e-05,1.00694848582199e-05,0.0003062859273528992,3.9252182035431904e-05,3.167366368666862e-23,0.34883689880371094
15,RBF,0.00016761581833880753,0.000875080570201917,1.0654241443535002e-06,3.236935290722165e-05,8.990357712401753e-05,1.613185730648251e-23,0.12339615821838379
16,RBF,0.00018134765038810716,0.00024791128920805797,2.8945833442143264e-05,0.0008806063307151557,0.00012368518129540762,7.256199938774607e-24,0.10650229454040527
17,RBF,0.00012439145396236472,0.0008368636987631021,1.6522400905945311e-06,5.038256539739716e-05,0.00017003852306929357,4.391476280480431e-25,0.11158204078674316
18,RBF,0.000447698122675838,0.0006081192246285786,8.159337871969105e-06,0.0002481782475514324,1.1572855245167712e-05,2.4941171955277152e-23,0.3501889705657959
19,RBF,0.0004209208287066401,0.0005355536582983911,1.0441794125110211e-05,0.0003179251392703142,0.00012168263527700951,5.1625998253524546e-23,0.1103367805480957
20,RBF,5.96556482332953e-05,0.00025580386374351603,2.7329525730086183e-06,8.31650576238116e-05,0.0001123263004447761,1.0679491975211895e-23,0.09875822067260742
1,KRG,1.7634439644583797e-05,1.8069517177102565e-05,2.2284645818655517e-07,1.4755137417513109e-06,0.0001396699500208487,4.222876114832202e-23,0.167266845703125
2,KRG,6.287052083754948e-05,2.2604116269242117e-05,7.821900463440661e-07,4.144744236544984e-06,0.00010291466121753468,1.3234729400510295e-23,0.410663366317749
3,KRG,1.6884691935675152e-05,1.5087984954512417e-05,8.883035899518929e-07,4.892969628897403e-06,0.00020595840182024983,1.5587260223171354e-23,0.3818798065185547
4,KRG,5.728798248221072e-05,3.348561377491376e-05,4.949913953115198e-09,8.992644470996736e-06,0.0001680492316299964,1.8871645985499535e-23,0.16157197952270508
5,KRG,3.924744320952352e-06,1.0324505011300402e-05,4.4165107873812837e-07,1.8158979345483939e-06,0.0009036912920686868,2.7316738308412364e-23,0.15853190422058105
6,KRG,0.00044686626096582087,0.0001505698550669722,9.224997703071586e-07,8.931343156670657e-05,0.0001150272357421378,4.13542158609535e-23,0.15281987190246582
7,KRG,9.669444681520771e-06,7.613380198259458e-05,1.5937249852654347e-06,6.244655858475556e-05,0.0004278915702283781,6.070055780491079e-23,0.43833065032958984
8,KRG,7.132959622760199e-06,0.0003186743084301459,2.3049027522842325e-06,7.939029323966729e-05,0.0027954974771342567,5.0930903818515743e-23,0.15427112579345703
9,KRG,1.7282730090535298e-06,5.173679841655892e-06,3.5409241123029664e-07,8.59798192531791e-07,0.000187343589508282,7.146364946358736e-24,0.15921473503112793
10,KRG,5.438348893727093e-05,3.5381243768030994e-05,4.0010918913972737e-07,1.1332491428941993e-05,1.2460521048807127e-05,3.323763382433068e-23,0.15752172470092773
11,KRG,8.553865590681384e-05,9.709261545268453e-06,8.011925162589376e-09,5.059258064508965e-06,0.00036972840652754746,3.019841018695426e-23,0.40996384620666504
12,KRG,7.848571740294295e-05,3.6337923125664506e-05,6.01573390204271e-07,3.2081698390071245e-05,0.0003513321908985012,4.846359316570981e-23,0.15810132026672363
13,KRG,1.2124872679641717e-05,3.5099220756898287e-05,5.534172961767052e-07,1.910238523403218e-06,0.00012858839326562732,4.276974620151101e-23,0.159867525100708
14,KRG,2.7654320427670915e-05,1.378110671053797e-05,3.442584630912026e-07,2.8928696962360334e-06,0.0001685823290925037,3.049516784018069e-23,0.15680789947509766
15,KRG,1.6506541010591907e-05,1.384477887920996e-05,6.741712711357158e-07,8.42952165164279e-06,0.000714281623553914,2.4703105301475493e-23,0.40010929107666016
16,KRG,7.125433494534643e-05,7.325204179105228e-05,3.6586832386029805e-07,5.995463555702463e-06,0.0010204419680335808,1.2094831567734604e-23,0.15280699729919434
17,KRG,2.1510433131176493e-05,7.660024525450544e-05,8.297122151236166e-07,3.2146338778127337e-06,0.0006482467648943335,9.203426149389883e-24,0.16033077239990234
